Date,JKH-N0000.CM,COMB-N0000.CM,HNB-N0000.CM,SAMP-N0000.CM,CCS-N0000.CM,AAF-N0000.CM,AAIC-N0000.CM,AHPL-N0000.CM,AFSL-N0000.CM,ALLI-N0000.CM,AEL-N0000.CM,CALF-N0000.CM
2020-02-06,156.50282287597656,60.83745956420898,109.6309051513672,31.18906784057617,60.76531982421875,8.100000381469727,26.055570602416992,35.92935562133789,20.599958419799805,28.815710067749023,17.337642669677734,35.63041687011719
2020-02-07,157.37985229492188,60.83745956420898,109.6309051513672,30.825958251953125,60.76531982421875,8.0,25.98534202575684,34.981353759765625,20.599958419799805,28.815710067749023,17.092296600341797,35.63041687011719
2020-02-10,156.062744140625,61.03540802001953,110.32041931152344,30.596628189086918,60.76531982421875,8.100000381469727,26.33649635314941,34.602149963378906,20.40561866760254,28.75181770324707,17.1740779876709,35.63041687011719
2020-02-11,153.72181701660156,60.70549774169922,109.6309051513672,30.577516555786133,60.76531982421875,8.0,25.98534202575684,34.602149963378906,20.40561866760254,28.87960433959961,16.765169143676758,35.63041687011719
2020-02-12,153.03900146484375,60.49760437011719,110.32041931152344,30.577516555786133,60.76531982421875,7.800000190734863,26.055570602416992,33.93854904174805,20.40561866760254,28.75181770324707,16.846954345703125,39.15430450439453
2020-02-13,152.1611785888672,59.340728759765625,108.25191497802734,30.692184448242188,60.76531982421875,8.0,25.98534202575684,34.602149963378906,20.40561866760254,28.43235206604004,16.92873764038086,41.11202239990234
2020-02-14,151.18576049804688,58.183860778808594,107.90715026855467,31.896169662475582,60.76531982421875,8.0,26.125804901123047,33.93854904174805,19.433921813964844,28.75181770324707,16.846954345703125,41.11202239990234
2020-02-17,150.99070739746094,58.183860778808594,108.25191497802734,31.781509399414062,60.749942779541016,7.800000190734863,26.125804901123047,33.93854904174805,19.433921813964844,29.135173797607425,16.765169143676758,38.371219635009766
2020-02-18,151.47837829589844,59.95319366455078,107.97610473632812,31.91527938842773,62.27291488647461,7.800000190734863,25.98534202575684,34.981353759765625,19.433921813964844,29.135173797607425,16.846954345703125,38.371219635009766
2020-02-19,152.35626220703125,61.1781120300293,108.25191497802734,32.068172454833984,62.27291488647461,7.5,25.98534202575684,35.92935562133789,19.433921813964844,29.135173797607425,17.255861282348633,38.371219635009766
