2026-07-06 02:08:50,329 | INFO | ALLI-N0000.CM.csv -> PASS
2026-07-06 02:08:50,344 | INFO | CALF-N0000.CM.csv -> PASS
2026-07-06 02:08:50,359 | INFO | CCS-N0000.CM.csv -> PASS
2026-07-06 02:08:50,377 | INFO | COMB-N0000.CM.csv -> PASS
2026-07-06 02:08:50,393 | INFO | HNB-N0000.CM.csv -> PASS
2026-07-06 02:08:50,408 | INFO | JKH-N0000.CM.csv -> PASS
2026-07-06 02:08:50,424 | INFO | SAMP-N0000.CM.csv -> PASS
2026-07-06 02:08:50,440 | INFO | ^GSPC.csv -> PASS
2026-07-06 02:10:30,871 | INFO | ============================================================
2026-07-06 02:10:30,872 | INFO | STARTING PREPROCESSING
2026-07-06 02:10:30,872 | INFO | ============================================================
2026-07-06 02:10:30,872 | INFO | Loading CSE price files...
2026-07-06 02:10:30,872 | INFO | Loading JKH-N0000.CM.csv
2026-07-06 02:10:30,883 | INFO | Loading COMB-N0000.CM.csv
2026-07-06 02:10:30,890 | INFO | Loading HNB-N0000.CM.csv
2026-07-06 02:10:30,896 | INFO | Loading SAMP-N0000.CM.csv
2026-07-06 02:10:30,904 | INFO | Loading CCS-N0000.CM.csv
2026-07-06 02:10:30,909 | INFO | Loading AAF-N0000.CM.csv
2026-07-06 02:10:30,915 | INFO | Loading AAIC-N0000.CM.csv
2026-07-06 02:10:30,920 | INFO | Loading AHPL-N0000.CM.csv
2026-07-06 02:10:30,925 | INFO | Loading AFSL-N0000.CM.csv
2026-07-06 02:10:30,931 | INFO | Loading ALLI-N0000.CM.csv
2026-07-06 02:10:30,936 | INFO | Loading AEL-N0000.CM.csv
2026-07-06 02:10:30,943 | INFO | Loading CALF-N0000.CM.csv
2026-07-06 02:10:30,956 | INFO | Loaded 12 assets.
2026-07-06 02:10:30,956 | INFO | Aligning dates...
2026-07-06 02:10:30,957 | INFO | Rows: 2190
2026-07-06 02:10:30,957 | INFO | Handling missing values...
2026-07-06 02:10:30,958 | INFO | Missing before fill: 30
2026-07-06 02:10:30,960 | INFO | Missing after fill: 0
2026-07-06 02:10:30,960 | INFO | Calculating daily returns...
2026-07-06 02:10:30,963 | INFO | Calculated returns for 12 assets.
2026-07-06 02:10:30,963 | INFO | Building portfolio...
2026-07-06 02:10:30,965 | INFO | Portfolio created.
2026-07-06 02:10:30,965 | INFO | Generating transaction history...
2026-07-06 02:10:30,966 | INFO | Transaction history created.
2026-07-06 02:10:30,966 | INFO | Saving processed datasets...
2026-07-06 02:10:31,042 | INFO | All processed files saved.
2026-07-06 02:10:31,043 | INFO | ============================================================
2026-07-06 02:10:31,043 | INFO | PREPROCESSING COMPLETE
2026-07-06 02:10:31,043 | INFO | ============================================================
2026-07-07 00:16:14,170 | INFO | ============================================================
2026-07-07 00:16:14,170 | INFO | PORTFOLIO ANALYTICS PIPELINE — START
2026-07-07 00:16:14,170 | INFO | ============================================================
2026-07-07 00:16:14,170 | INFO | ============================================================
2026-07-07 00:16:14,170 | INFO | STARTING PREPROCESSING
2026-07-07 00:16:14,170 | INFO | ============================================================
2026-07-07 00:16:14,170 | INFO | Loading CSE price files...
2026-07-07 00:16:14,170 | INFO | Loading JKH-N0000.CM.csv
2026-07-07 00:16:14,208 | INFO | Loading COMB-N0000.CM.csv
2026-07-07 00:16:14,218 | INFO | Loading HNB-N0000.CM.csv
2026-07-07 00:16:14,232 | INFO | Loading SAMP-N0000.CM.csv
2026-07-07 00:16:14,253 | INFO | Loading CCS-N0000.CM.csv
2026-07-07 00:16:14,267 | INFO | Loading AAF-N0000.CM.csv
2026-07-07 00:16:14,281 | INFO | Loading AAIC-N0000.CM.csv
2026-07-07 00:16:14,295 | INFO | Loading AHPL-N0000.CM.csv
2026-07-07 00:16:14,312 | INFO | Loading AFSL-N0000.CM.csv
2026-07-07 00:16:14,327 | INFO | Loading ALLI-N0000.CM.csv
2026-07-07 00:16:14,340 | INFO | Loading AEL-N0000.CM.csv
2026-07-07 00:16:14,353 | INFO | Loading CALF-N0000.CM.csv
2026-07-07 00:16:14,381 | INFO | Loaded 12 assets.
2026-07-07 00:16:14,382 | INFO | Aligning dates...
2026-07-07 00:16:14,382 | INFO | Rows: 2190
2026-07-07 00:16:14,382 | INFO | Handling missing values...
2026-07-07 00:16:14,383 | INFO | Missing before fill: 30
2026-07-07 00:16:14,384 | INFO | Missing after fill: 0
2026-07-07 00:16:14,384 | INFO | Calculating daily returns...
2026-07-07 00:16:14,386 | INFO | Calculated returns for 12 assets.
2026-07-07 00:16:14,387 | INFO | Building portfolio...
2026-07-07 00:16:14,389 | INFO | Portfolio created.
2026-07-07 00:16:14,389 | INFO | Generating transaction history...
2026-07-07 00:16:14,390 | INFO | Transaction history created.
2026-07-07 00:16:14,391 | INFO | Saving processed datasets...
2026-07-07 00:16:14,449 | INFO | All processed files saved.
2026-07-07 00:16:14,449 | INFO | ============================================================
2026-07-07 00:16:14,449 | INFO | PREPROCESSING COMPLETE
2026-07-07 00:16:14,449 | INFO | ============================================================
2026-07-07 00:16:14,449 | INFO | ############################################################
2026-07-07 00:16:14,449 | INFO | # PHASE 3 — METRIC CALCULATION
2026-07-07 00:16:14,449 | INFO | ############################################################
2026-07-07 00:16:14,449 | INFO | ============================================================
2026-07-07 00:16:14,449 | INFO | STARTING METRIC CALCULATIONS
2026-07-07 00:16:14,449 | INFO | ============================================================
2026-07-07 00:16:14,449 | INFO | ============================================================
2026-07-07 00:16:14,449 | INFO | Loading processed datasets...
2026-07-07 00:16:14,449 | INFO | ============================================================
